specObjID,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,z
2643750483251980288,18.25142,18.25742,16.42507,15.97323,16.00281,18.27301,18.23863,16.41784,15.96907,15.99466,1.239629
1786973901067151360,19.23691,18.9641,18.85011,18.90175,18.83653,19.25062,18.9394,18.84667,18.90664,18.77039,0.7718903
4766116091381084160,21.62584,21.26237,21.02424,21.1359,21.0517,21.36844,21.16904,21.0039,20.90761,20.5881,2.538387
6177961323277250560,24.63494,20.78668,21.12444,20.4736,20.60553,24.63465,20.66916,20.94925,19.98231,20.54392,1.875121
935706973712705536,19.38308,18.83038,18.94818,18.89494,18.72006,19.37943,18.8253,18.93418,18.84912,18.66459,0.6503231
5678075786851708928,23.50917,22.45374,21.2722,20.39408,19.78223,21.79794,22.04938,20.49563,19.7305,19.40319,0.5363023
8261887163252797440,21.05299,21.4634,21.02367,21.07151,21.35817,20.99964,21.4592,21.03045,20.92649,21.44046,1.125955
5950427561787584512,24.88911,22.8494,21.86088,21.07978,20.80715,25.08297,22.16156,21.03747,19.9022,20.30108,0.5939108
5949265101776941056,23.73618,21.77187,21.01569,20.4731,20.11663,23.12745,21.68515,20.96667,20.41553,20.18564,3.355556
710529462638241792,19.47224,19.12203,19.01913,18.76495,18.78307,19.4391,19.09329,18.98898,18.73581,18.73334,1.581957
7844361088048754688,22.12776,21.69282,21.46844,21.48961,21.52645,21.74539,21.66536,21.41683,21.39343,21.31738,4.126149
2506290640099239936,20.04608,19.46449,19.25213,19.13772,18.99583,20.05302,19.41869,19.21658,19.03859,18.8954,0.7106271
6783727910697758720,20.8005,20.17592,20.05792,20.07122,19.8,20.78256,20.15619,20.05503,20.02831,19.72348,0.813953
6509016034019307520,25.04181,22.04685,20.8108,20.13717,19.90778,25.35567,21.83504,20.82618,20.09944,19.71118,4.67629
1482901208287963136,19.39633,19.32876,18.98243,18.95192,19.02064,19.39238,19.28652,18.97277,18.93604,19.01178,1.361988
559588229989296128,19.43074,19.22706,18.99207,19.06503,19.07501,19.38183,19.20691,18.98865,19.02226,19.00247,0.9554787
5065632681577607168,20.3988,19.66424,19.31451,19.00724,18.6806,20.37582,19.64171,19.23583,18.99224,18.66001,2.387865
8008700972313014272,20.63915,20.09956,20.13797,20.12335,20.10081,20.58176,20.06315,20.13218,20.12794,19.91323,2.289596
8008791956900212736,20.13899,19.641,19.54565,19.49929,19.33292,20.0754,19.623,19.53926,19.50808,19.20972,2.207463
7513133484589379584,20.92572,20.38959,20.15535,19.81544,19.76259,20.83528,20.39951,20.14002,19.82903,19.72676,1.716026
8309211794539999232,21.53293,21.0735,20.53007,20.37132,20.66151,21.49014,21.03134,20.45238,20.35041,20.3422,1.2401
6975020945745047552,19.95867,19.48988,19.3597,19.36541,19.20626,19.9848,19.46809,19.33196,19.28187,19.1236,0.7513866
5449467245011595264,23.50638,21.59479,21.18475,21.32125,20.99117,20.01753,21.49144,21.06838,21.09629,20.12316,2.918298
6937803576169918464,25.26634,20.84931,20.43965,20.18114,19.92149,25.50631,20.81838,20.40549,20.15721,19.53448,3.146081
