specObjID,fa,fb,fc,fd,fe,ff,fg,z
4109591097926938624,0.9133477,-2.558069,0.8575879,0.112393426759337,1.050978,1.094076,2.671045,0.396771
8383499747394777088,1.020153,-0.5005703,0.9972444,0.0764289736891521,0.9932162,1.001657,0.01472282,2.713911
5246869591615533056,0.9397894,0.334837,0.9257793,0.0576299911710191,0.9655579,1.069937,0.7608433,0.4982757
4926052709406797824,0.9670084,-2.601326,0.9247564,0.167434286292776,0.9809194,1.031436,0.8213482,0.5291214
4138872740868976640,0.9589029,-0.6417236,0.9181014,0.110534463032212,0.9689167,1.048263,0.6992455,0.9681534
6814178335372537856,0.9989888,-1.239191,0.9967948,0.0685086961067479,0.9991606,1.023859,-0.007780075,2.490888
1070894403993757696,1.002848,-0.2307262,1.003549,0.00627678263475766,0.9956685,1.004987,0.01148605,0.8515509
8066058093974974464,1.011006,-4.118086,1.005876,0.0660039767979282,1.001612,1.020604,-0.01274109,0.7658436
7337571166863421440,1.00304,-0.3567638,0.9958674,0.0110280888979963,0.9981337,1.01218,-0.001873016,2.23304
5830109933538570240,0.9954435,-0.1871872,0.9931873,0.120158354687997,1.001147,1.038624,0.08300591,2.069731
7281225589070688256,1.008485,-3.547783,1.002607,0.0350883103248881,0.9777234,1.001482,-0.010952,3.197458
6801787389251088384,1.005202,-0.4212894,0.9956693,0.0350755142176669,0.9925966,1.017413,0.01408195,2.108737
5863910566250868736,0.9974543,-0.2394829,0.9998534,0.091927871031319,0.9950672,0.9992536,-0.02235222,1.045731
7522222597460389888,1.009283,-0.3177052,0.9956472,0.0736973950465514,0.9979889,1.02504,0.05095291,2.255849
5837995901314592768,1.076926,-3.634848,1.010067,0.10744882891257,0.9896955,0.9637812,0.07775879,2.896492
563072032665790464,0.9983974,-0.1860981,0.9949858,0.045893811105605,0.9948728,1.00412,0.03955269,1.361923
5857093591071649792,1.00115,-0.4444714,0.9955243,0.0550987305629003,1.003202,1.001973,0.007301331,2.505669
4757182834383974400,0.9992663,-0.6961002,0.9919334,0.029384087358795,1.005826,1.020152,-0.01161575,2.599001
7328603548735434752,1.011346,-0.5569172,1.001618,0.0262721985065953,0.9849414,1.011213,-0.006456375,0.8449142
2196728081887029248,1.001883,-0.4801636,1.000904,0.0142580438837524,1.000279,1.013127,0.01081085,2.304759
8305956140408827904,0.9934009,-0.05279732,0.9761474,0.159738173241631,1.002336,0.9590927,0.2094154,1.498775
5987574287874846720,1.002792,-0.7457809,0.9993612,0.03093696886105,0.9964637,1.005025,0.02789688,2.415919
5816496327282585600,0.9987009,-1.456091,0.9826367,0.0354084305668106,0.9811485,1.016517,0.0418911,2.743953
8263088931508779008,1.002458,-0.2133904,0.9835693,0.067739295563341,0.9990973,1.019183,0.04334068,2.070772
6099168670696271872,1.011023,-3.130613,0.9878191,0.0813919799146411,0.9826391,1.013728,0.02202415,2.818006
